Teste 2:
Parametros: Memoria Virtual = 32, Memoria Fisica = 12, Tamanho Pagina = 4
Teste de Capacidade Total de Memória Física:
Alocando endereço virtual 0 -> endereço físico 0
Alocando endereço virtual 1 -> endereço físico 1
Alocando endereço virtual 2 -> endereço físico 2
Alocando endereço virtual 3 -> endereço físico 3
Alocando endereço virtual 4 -> endereço físico 4
Alocando endereço virtual 5 -> endereço físico 5
Alocando endereço virtual 6 -> endereço físico 6
Alocando endereço virtual 7 -> endereço físico 7
Alocando endereço virtual 8 -> endereço físico 8
Alocando endereço virtual 9 -> endereço físico 9
Alocando endereço virtual 10 -> endereço físico 10
Alocando endereço virtual 11 -> endereço físico 11
Alocando endereço virtual 12 -> endereço físico 12
Alocando endereço virtual 13 -> endereço físico 13
Alocando endereço virtual 14 -> endereço físico 14
Alocando endereço virtual 15 -> endereço físico 15
Alocando endereço virtual 16 -> endereço físico 1072
Alocando endereço virtual 17 -> endereço físico 1073
Alocando endereço virtual 18 -> endereço físico 1074
Alocando endereço virtual 19 -> endereço físico 1075
Alocando endereço virtual 20 -> endereço físico 1076
Alocando endereço virtual 21 -> endereço físico 1077
Alocando endereço virtual 22 -> endereço físico 1078
Alocando endereço virtual 23 -> endereço físico 1079
Alocando endereço virtual 24 -> endereço físico 1080
Alocando endereço virtual 25 -> endereço físico 1081
Alocando endereço virtual 26 -> endereço físico 1082
Alocando endereço virtual 27 -> endereço físico 1083
Alocando endereço virtual 28 -> endereço físico 1084
Alocando endereço virtual 29 -> endereço físico 1085
Alocando endereço virtual 30 -> endereço físico 1086
Alocando endereço virtual 31 -> endereço físico 1087
Alocando endereço virtual 32 -> endereço físico -2147483648
Alocando endereço virtual 33 -> endereço físico -2147483648
Alocando endereço virtual 34 -> endereço físico -2147483648
Alocando endereço virtual 35 -> endereço físico -2147483648
Alocando endereço virtual 36 -> endereço físico -2147483648
Alocando endereço virtual 37 -> endereço físico -2147483648
Alocando endereço virtual 38 -> endereço físico -2147483648
Alocando endereço virtual 39 -> endereço físico -2147483648
Alocando endereço virtual 40 -> endereço físico -2147483648
Alocando endereço virtual 41 -> endereço físico -2147483648
Alocando endereço virtual 42 -> endereço físico -2147483648
Alocando endereço virtual 43 -> endereço físico -2147483648
Alocando endereço virtual 44 -> endereço físico -2147483648
Alocando endereço virtual 45 -> endereço físico -2147483648
Alocando endereço virtual 46 -> endereço físico -2147483648
Alocando endereço virtual 47 -> endereço físico -2147483648
Alocando endereço virtual 48 -> endereço físico -2147483648
Alocando endereço virtual 49 -> endereço físico -2147483648
Alocando endereço virtual 50 -> endereço físico -2147483648
Alocando endereço virtual 51 -> endereço físico -2147483648
Alocando endereço virtual 52 -> endereço físico -2147483648
Alocando endereço virtual 53 -> endereço físico -2147483648
Alocando endereço virtual 54 -> endereço físico -2147483648
Alocando endereço virtual 55 -> endereço físico -2147483648
